Year,Gas_Forecast_TWh,CI_Lower,CI_Upper
2024,7617.6745174249045,7214.325702840711,8021.023332009098
2025,7801.387510264423,7398.0386956802295,8204.736324848616
2026,7985.100503103943,7581.751688519749,8388.449317688137
2027,8168.813495943463,7765.464681359269,8572.162310527656
2028,8352.526488782982,7949.177674198788,8755.875303367175
